#,Gender,Age,Income,Camelback,Herschel,Northface,Air Jordan,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
b1919157b29524bd7ef969d24de21060,Female,25 - 34,"$35,000 - $49,999",Camelback,,,,,,,,Beats ear buds,,,,,,Digital watch,Nalgene,,,,,,,,,,,,,,,,Couch - modern,,,,Pen - mont blanc,,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,,,Foodie/ fine dining,,,,,A1LB9JOMFQ1UMG,7/20/17 20:38,7/20/17 20:45,2604:6000:
f71d8cd12fdf674b7626a22ed21a0938,Male,35 - 45,"Below $35,000",,,Northface,,Nike,,,,,,,Samsung,Analog watch,,,Nalgene,,,,,maglight,,,Speaker - qsc,Bowl - pattern,,,,Toothbrush - normal,,,Couch - modern,,Pen - ballpoint,,,Calculator - simple,,,,Sunglasses - Oakley,,Laptop - lenovo,,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A317RA15E0SZ4P,7/20/17 20:41,7/20/17 20:45,5d57cd4f78
726c133e148b5a6f61d694f6222da2e1,Female,46+,"Below $35,000",,,,,,,Apple ear pods,Bose ear buds,,Flip phone,,,,Smart watch,,Nalgene,,Swell bottle,Keychain flashlight,,maglight,,,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,,,,,,,,,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,,A1NGABF082HR2P,7/20/17 20:45,7/20/17 20:46,9fb8d591e7
eecd726450acad971275586b5646eb48,Male,18 - 24,"Below $35,000",,,Northface,,,,,,Beats ear buds,,,Samsung,,,,,,,,,,,,,,,,,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,,,,,,,,,,,Sunglasses - generic,Laptop - lenovo,,,,,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,Korean dramas/ Asian style,,A1A6DUWWGNEE4W,7/20/17 20:43,7/20/17 20:46,64d13be320
9b12e8e18d129d4b14043e04f0cee9c2,Male,25 - 34,"Below $35,000",,,Northface,,,,,,,,,,Analog watch,,,Nalgene,,,,,,,,,Bowl - pattern,Bowl - rustic,,Toothbrush - design,,,Couch - normal,,Couch - leather,,,,,,,Sunglasses - aviators,,,,Laptop - surface,,,,,Listening to/ playing music,Travel/ roadtrips/ exploration,,,,,,Foodie/ fine dining,,,,,A2HSCKH5NKN5LP,7/20/17 20:46,7/20/17 20:47,07da03f8a7
8291a03d1cfa96ca3385bb574a1657c8,Male,18 - 24,"$35,000 - $49,999",,Herschel,,Air Jordan,,Sketchers,Apple ear pods,Bose ear buds,,,,Samsung,Analog watch,,,Nalgene,,,,,,,,,,,,,Toothbrush - normal,,Couch - normal,,,Pen - ballpoint,,,,,Calculator - app,,,,Laptop - lenovo,,,,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,,,,,A3IF13XHP5UPO2,7/20/17 20:43,7/20/17 20:47,8a9ae6317b
24855db25c72aa429acc46112ed42f9b,Female,25 - 34,"$35,000 - $49,999",,,Northface,,,Sketchers,Apple ear pods,Bose ear buds,,Flip phone,iPhone,Samsung,,Smart watch,,Nalgene,,,,,,,Speaker - cheap,Speaker - qsc,,Bowl - rustic,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,,Couch - modern,,Pen - ballpoint,Pen - ink,,Calculator - simple,Calculator - advanced,Calculator - app,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,,Museums/ photography/ art,,Listening to/ playing music,,,Design/ Making/ Crafting,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2ILUP6FN8HKKC,7/20/17 20:46,7/20/17 20:48,2604:6000:
5bcfd41d688846a5b35796182f13c75a,Male,25 - 34,"$50,000 - $74,999",,,,Air Jordan,Nike,,Apple ear pods,,Beats ear buds,,iPhone,Samsung,,Smart watch,,,,,,,,,,,,,,,,,,,,Pen - ballpoint,,,,,,,,,Laptop - lenovo,,,,,,,,,,,Finding deals/ couponing,Car enthusiast,,,,,,A1X94LTZZQMHTP,7/20/17 20:47,7/20/17 20:48,d0322b82d3
6d731a9ec1028dd4b5d17bdfc5fd112e,Male,18 - 24,"Below $35,000",,,Northface,,,,Apple ear pods,,,,,Samsung,Analog watch,,Digital watch,Nalgene,,,,headlamp,,,,,Bowl - pattern,,,,Toothbrush - normal,,,Couch - modern,,,,Pen - mont blanc,,,Calculator - app,Sunglasses - aviators,Sunglasses - Oakley,,Laptop - lenovo,,,Hiking/ camping/ outdoors,,,,,Movies/ Netflix/ TV,,,,,,,,,,A3T1GP1D5ECT8A,7/20/17 20:49,7/20/17 20:50,a91b4fa872
cc2abb80a1a44aa004ee29209ade3da2,Male,25 - 34,"$50,000 - $74,999",,,,,,,,,,Flip phone,iPhone,Samsung,,Smart watch,,,,,,,,,,,,,,,,,,,Couch - leather,,,,,,,Sunglasses - aviators,,,,,,,,,Listening to/ playing music,,,,Coding,,,,,,,,A2AAG78CGKX2U5,7/20/17 20:49,7/20/17 20:50,9dff599a79
614b5c1df65dc9c3a6b8110df15cf519,Male,25 - 34,"Below $35,000",,Herschel,Northface,,,,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,,,Nalgene,,Swell bottle,Keychain flashlight,,maglight,,,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,,Couch - normal,Couch - modern,,Pen - ballpoint,Pen - ink,,,,Calculator - app,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,Foodie/ fine dining,,,,,ALEJV7D94ZLHF,7/20/17 20:48,7/20/17 20:51,30e010a3da
be5bf289ef0278b45dfec41de03a4031,Male,25 - 34,"Below $35,000",,,,,,,,,,,,Samsung,,Smart watch,,,,,,,,,,,,,,,,,,,,Pen - ballpoint,,,Calculator - simple,Calculator - advanced,,Sunglasses - aviators,Sunglasses - Oakley,,,Laptop - surface,,,,Sports/ running/ workout,Listening to/ playing music,,,Design/ Making/ Crafting,Coding,,,Foodie/ fine dining,,,,,A7KLTVEIASF4J,7/20/17 20:50,7/20/17 20:51,2601:4c4:2
134c3c0f9669d7220dc752c3c554dad0,Male,25 - 34,"Below $35,000",Camelback,,,,Nike,,,,,Flip phone,,Samsung,Analog watch,,,,,,,,,,,Speaker - qsc,,,,Toothbrush - design,,,,,,,,,Calculator - simple,,,,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,,,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,Car enthusiast,,,,,,A39ZNRZB9EATLB,7/20/17 20:48,7/20/17 20:51,2405:204:7
212842e5546e41e290ea20411ab5e38b,Male,25 - 34,"$75,000 - $100,000",,,Northface,,Nike,,,,Beats ear buds,,,Samsung,,,,,,,,,,,,,,,,,,,,,,Pen - ballpoint,,,,,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,,,Sports/ running/ workout,,,,,,,,,,Fashion blogs / OOTD,,,A3HIO96PK1JA03,7/20/17 20:50,7/20/17 20:51,82eec21b73
35527b25fd3612a72c8ecdf165c7f8a5,Male,25 - 34,"$75,000 - $100,000",,,Northface,Air Jordan,,,,,Beats ear buds,,,Samsung,Analog watch,,,Nalgene,Nike bottle,,,,,Speaker - beats,Speaker - cheap,,,,,,Toothbrush - normal,,Couch - normal,,,,,,,Calculator - advanced,,,,,,Laptop - surface,laptop - mac,,,,,,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,Car enthusiast,,,Fashion blogs / OOTD,,Thrifting/ Flea markets,A14WLAP6TCEKO0,7/20/17 20:49,7/20/17 20:51,be86aaa63c
a2b2a1ae066a3ae56204b615497a4235,Male,25 - 34,"Below $35,000",,Herschel,,,,,,,,,,Samsung,,,,,,,,,maglight,,,,,Bowl - rustic,Bowl - simple,,Toothbrush - normal,,Couch - normal,Couch - modern,,Pen - ballpoint,,,,Calculator - advanced,,,,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,,AVPW2P11STYLA,7/20/17 20:48,7/20/17 20:51,c162a12773
35be16056f360183dc11650657f289a1,Male,25 - 34,"$35,000 - $49,999",,,,,,,,,Beats ear buds,,,Samsung,Analog watch,,,,,,,,,,,Speaker - qsc,,,,,,,,,,,,,,Calculator - advanced,,,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,,,,,,,,Coding,,Car enthusiast,,,Fashion blogs / OOTD,,,A39ZNRZB9EATLB,7/20/17 20:51,7/20/17 20:52,2405:204:7
317bb2bd71aa0b82e40ba427d0f7388f,Male,18 - 24,"Below $35,000",,,Northface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - lenovo,,,,Museums/ photography/ art,,,,,,Coding,,,Foodie/ fine dining,,,Korean dramas/ Asian style,Thrifting/ Flea markets,A3I8SB05PWN7HO,7/20/17 20:50,7/20/17 20:52,2405:204:7
976d2004d19ba9972ac7fa1ed1d3901b,Female,35 - 45,"Below $35,000",Camelback,,Northface,,,Sketchers,Apple ear pods,,Beats ear buds,,,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,Fashion blogs / OOTD,Korean dramas/ Asian style,,A1ERMRNNR0CZ2Y,7/20/17 20:48,7/20/17 20:52,2601:204:d
926bd87e154c84cb333c886dc03b67f9,Male,18 - 24,"$75,000 - $100,000",,,Northface,,,,,,,,,,,Smart watch,,Nalgene,,,,,maglight,,Speaker - cheap,,,Bowl - rustic,,,,,Couch - normal,Couch - modern,,,,,,,,,,,Laptop - lenovo,,,,,,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,,,,,,,,,AADDOP3FHMAV1,7/20/17 20:51,7/20/17 20:52,2605:e000:
4971f7c42006460ec31ca13830d87b96,Female,25 - 34,"Below $35,000",,,Northface,,,Sketchers,,,,,,,,,,Nalgene,,,Keychain flashlight,,,,,,,,,,,,Couch - normal,,,Pen - ballpoint,,,,,,,,Sunglasses - generic,,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A2TSOQWSTTUNPJ,7/20/17 20:50,7/20/17 20:52,2601:544:c
14ba6c8cc3ef55c0e60b6e8fd67f71a6,Male,46+,"$50,000 - $74,999",,,,Air Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - surface,,,,,,,,,,,Car enthusiast,,,,,,A37N4JY3863YH0,7/20/17 20:48,7/20/17 20:53,bdfd482159
003fda68592579405dd047b18d02bb50,Male,25 - 34,"Below $35,000",,,Northface,,Nike,,,,Beats ear buds,,,Samsung,,,Digital watch,Nalgene,,,,,maglight,,,,Bowl - pattern,,,Toothbrush - design,,Toothbrush - Sonicare,,Couch - modern,,Pen - ballpoint,,,,,Calculator - app,,,Sunglasses - generic,,Laptop - surface,,,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,,,,,,Korean dramas/ Asian style,Thrifting/ Flea markets,A1D3QRG52OISSR,7/20/17 20:50,7/20/17 20:54,580bb0b6dd
9a7795d2955b54a056446cb6f66b1801,Male,25 - 34,"$35,000 - $49,999",,Herschel,,,,,,,,,iPhone,,Analog watch,,Digital watch,,,,,,,,,,,,,,,,,,,,,,,Calculator - advanced,,,,,Laptop - lenovo,Laptop - surface,,,,,,,,,,,Car enthusiast,,,,,,ABSQA6SQDB3E5,7/20/17 20:54,7/20/17 20:55,5d60cc306c
5117d7087f51f4d9910a20e4ad6ec5fa,Male,46+,"$35,000 - $49,999",,,,,,Sketchers,,,,,,,,,,,,,,headlamp,maglight,,,,,,,,,,Couch - normal,,,,,Pen - mont blanc,,,,,Sunglasses - Oakley,,,,,Hiking/ camping/ outdoors,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2QKM3JUFWBSMO,7/20/17 20:39,7/20/17 20:55,2600:8800:
289fb27461104c75c9691e291603526f,Male,25 - 34,"$50,000 - $74,999",,,,Air Jordan,,,,,Beats ear buds,,,,,Smart watch,Digital watch,,,,,headlamp,,Speaker - beats,,Speaker - qsc,,,,,,,,,,,,,,,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,Museums/ photography/ art,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,,,,,,,,A16SAB417Y96G4,7/20/17 20:55,7/20/17 20:56,deb61d73f2
26232266d655824ed928e830b7cb2057,Male,25 - 34,"Below $35,000",,,,Air Jordan,,Sketchers,Apple ear pods,,,,iPhone,Samsung,,,,Nalgene,,,,,,,,,,,,,Toothbrush - normal,,Couch - normal,Couch - modern,,,,,,Calculator - advanced,Calculator - app,,,Sunglasses - generic,,,,,,Sports/ running/ workout,,,,,,,,Foodie/ fine dining,,,,,A1A3TGZ7DKJWRW,7/20/17 20:55,7/20/17 20:56,6646657116
cbae881915ddef66bf347f353398f5db,Male,25 - 34,"$50,000 - $74,999",,,Northface,,Nike,,,Bose ear buds,Beats ear buds,,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,,,,,Speaker - beats,,,Bowl - pattern,,,Toothbrush - design,,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,,,,,,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,,Design/ Making/ Crafting,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A11T4227GSO6EP,7/20/17 20:50,7/20/17 20:56,f77b0f4690
c8b6b20361136fdc649cf0d9c7f9636b,Male,18 - 24,"$50,000 - $74,999",,Herschel,Northface,,,,Apple ear pods,,Beats ear buds,,,Samsung,,,,,,,,,,,Speaker - cheap,,,,,,,Toothbrush - Sonicare,,,,,,Pen - mont blanc,,Calculator - advanced,,,Sunglasses - Oakley,,,,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,,,Design/ Making/ Crafting,Coding,,,,,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,A1DVKS3R9SLQ1H,7/20/17 20:55,7/20/17 20:57,6c77552a0e
980fa38a4038fcfce65050b2a1c29b41,Male,25 - 34,"$75,000 - $100,000",,,Northface,,,,,Bose ear buds,,,,Samsung,,,,Nalgene,,,,,,,,Speaker - qsc,,,,,,,,Couch - modern,,,,,,,,Sunglasses - aviators,,Sunglasses - generic,,Laptop - surface,,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,,A28AX4H70DPKKK,7/20/17 20:56,7/20/17 20:57,ed2e89c9f7
4ff952b6747fecc6d94b4104a83e5cbb,Male,25 - 34,,,,Northface,,,,,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,,Nalgene,,,,headlamp,,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,,,,,,,A1LRDHZZUVF9AZ,7/20/17 20:57,7/20/17 20:59,2001:8a0:7
24b78d4b6a7e93394706079a6309ecda,Male,25 - 34,"$50,000 - $74,999",Camelback,Herschel,Northface,,,,Apple ear pods,,Beats ear buds,Flip phone,,Samsung,,,Digital watch,Nalgene,,,Keychain flashlight,,,,,Speaker - qsc,,,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,,Pen - ballpoint,,Pen - mont blanc,,Calculator - advanced,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,Foodie/ fine dining,,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,A4J4GGMKJ68L0,7/20/17 20:57,7/20/17 20:59,f5040273aa
e4b4a3300cc7aea34159f602aa4f118f,Male,25 - 34,"$35,000 - $49,999",,Herschel,Northface,Air Jordan,Nike,,Apple ear pods,Bose ear buds,Beats ear buds,,,Samsung,Analog watch,Smart watch,,Nalgene,,,,,,,Speaker - cheap,Speaker - qsc,,,,,Toothbrush - normal,Toothbrush - Sonicare,,,Couch - leather,Pen - ballpoint,Pen - ink,,,,,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Listening to/ playing music,,,,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,,,,A166A2M31CW2C7,7/20/17 20:58,7/20/17 20:59,2602:306:3
f39377d2d59504806a115b243a3845df,Male,18 - 24,"Below $35,000",Camelback,,,,,,,Bose ear buds,Beats ear buds,,iPhone,Samsung,,,,Nalgene,,,,,,Speaker - beats,,,,,,,,Toothbrush - Sonicare,,Couch - modern,Couch - leather,,,,,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,,,Coding,,,,,,,Thrifting/ Flea markets,A25CFVQND4A0EV,7/20/17 20:58,7/20/17 21:01,43d2a35d82
0c0d5e3a99bcd00fe30e2909f1e960b0,Male,18 - 24,"Below $35,000",,,,,Nike,,,Bose ear buds,,,,,,,,Nalgene,,,,,,,,,,,,,,Toothbrush - Sonicare,Couch - normal,Couch - modern,,,,,,Calculator - advanced,,Sunglasses - aviators,Sunglasses - Oakley,,,,,,,,,,,,,,Car enthusiast,,,,,,AD8JNBDMO3NED,7/20/17 21:02,7/20/17 21:03,1a71f20184
098da9e33e920a11ac3d2025b3212ce9,Male,25 - 34,"$50,000 - $74,999",,,Northface,,,,,,Beats ear buds,,,,,,Digital watch,,,,,headlamp,,Speaker - beats,,,Bowl - pattern,,,,,,,,Couch - leather,,,,,,,,,Sunglasses - generic,,,laptop - mac,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,,,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,,,,A369RSNFVB856W,7/20/17 21:00,7/20/17 21:03,2605:e000:
95c353f9f8d5f9f0bfacf4520c6fd614,Male,25 - 34,"$35,000 - $49,999",,,,,,,,,,Flip phone,iPhone,,,,,,,,Keychain flashlight,,,,,Speaker - qsc,,,,,,,,,,,,,,Calculator - advanced,Calculator - app,,,,,,laptop - mac,,,,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,,A26M997VYVK0E6,7/20/17 21:02,7/20/17 21:04,f61f1baa4a
746e8695ef33c3ac808a07cc68981747,Female,25 - 34,"$50,000 - $74,999",,,,Air Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunglasses - aviators,,,,,,,,,,,,,,,Car enthusiast,,,,,,A2DPKKEEW2I6QK,7/20/17 21:05,7/20/17 21:06,ffaf6da26f
017d045fd48c70cd8429d2002e13c986,Male,25 - 34,"Below $35,000",,,,Air Jordan,,,,,Beats ear buds,,iPhone,Samsung,Analog watch,,,,,,Keychain flashlight,,,,,,,,,,Toothbrush - normal,,Couch - normal,,Couch - leather,Pen - ballpoint,,,,,,Sunglasses - aviators,,,Laptop - lenovo,,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,,,Coding,,,,,,Korean dramas/ Asian style,,A1FOTRH3UJMKTS,7/20/17 20:58,7/20/17 21:07,b29b20377a
ce13141fc59864d3998a4e2a3e75e5fc,Female,18 - 24,"Below $35,000",,,,,,Sketchers,,,,,,Samsung,,,,,,,,,,,Speaker - cheap,,,,,,,,,,,,,,,,,,,,Laptop - lenovo,,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,,,,,Coding,,,,,,,,A217W59SA6LZSR,7/20/17 21:07,7/20/17 21:08,6.38E+11
1533d82145eae2bfc353a1e208130aea,Male,25 - 34,"$50,000 - $74,999",,,Northface,,Nike,,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,Digital watch,Nalgene,Nike bottle,,,,maglight,,,Speaker - qsc,,,,,,Toothbrush - Sonicare,,,,,,Pen - mont blanc,Calculator - simple,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,,,,,APO6KZZ79PO9Q,7/20/17 21:02,7/20/17 21:11,2602:306:8
e960bd151c988e575c2e2fd3dcf2384c,Male,25 - 34,"Below $35,000",,,Northface,Air Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Couch - leather,,,,,,,Sunglasses - aviators,Sunglasses - Oakley,,,,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,,,,,,,,,,,,A1I9ZBV75AVWUS,7/20/17 21:12,7/20/17 21:12,2601:1c0:6
4845f1309b6b4febcb0b1501baecebfd,Male,35 - 45,"Below $35,000",,,,Air Jordan,,,,,Beats ear buds,,,,,,,,,,,,maglight,,,,,,,Toothbrush - design,,,,Couch - modern,,,,,,,,Sunglasses - aviators,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,A1VZSFHTU51JP0,7/20/17 21:10,7/20/17 21:13,3000f35954
6734749b5d5ec5bc49bb4742d4915055,Male,35 - 45,"$35,000 - $49,999",,Herschel,Northface,,Nike,,Apple ear pods,,,,,Samsung,,Smart watch,Digital watch,,,,Keychain flashlight,,,Speaker - beats,Speaker - cheap,,,,,Toothbrush - design,Toothbrush - normal,,,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,,,Calculator - app,,Sunglasses - Oakley,,Laptop - lenovo,,laptop - mac,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,A3OV174HQJIJK8,7/20/17 21:11,7/20/17 21:13,2605:e000:
c4d29d2190a4792cfcd37e66266f62e9,Female,25 - 34,"Below $35,000",,,,,,,,,,,iPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - lenovo,,,Hiking/ camping/ outdoors,,,,,,,,,,,,,,,A1QUDNLO95AKS5,7/20/17 21:12,7/20/17 21:13,3ef3732739
cd009c58bfbbd73d5b64afb075813d16,Male,35 - 45,"$50,000 - $74,999",,,,,,Sketchers,,,Beats ear buds,,iPhone,Samsung,,Smart watch,,,,,Keychain flashlight,,maglight,,,Speaker - qsc,,,,,Toothbrush - normal,,Couch - normal,,Couch - leather,Pen - ballpoint,,,Calculator - simple,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,Car enthusiast,,,,,Thrifting/ Flea markets,A2YKYAZYVWOXBO,7/20/17 21:11,7/20/17 21:14,0258470abb
69d0daf0b9383f9bab26063db3ec4afc,Female,18 - 24,"Below $35,000",,,,,,,,Bose ear buds,,Flip phone,iPhone,,,,,,,,,,,,,,,,,,,Toothbrush - Sonicare,,,,,,,,,,,,,Laptop - lenovo,Laptop - surface,,,,,,,,,Coding,,Car enthusiast,,,,,,A25DP39XRZDLQM,7/20/17 21:13,7/20/17 21:14,2601:406:4
179a825770d4a922ff89ba289d38423a,Female,46+,"$75,000 - $100,000",,,,,Nike,,,,,Flip phone,iPhone,,Analog watch,,,,Nike bottle,Swell bottle,,,,,Speaker - cheap,Speaker - qsc,,Bowl - rustic,,,,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,,A258DUZQTRIEK0,7/20/17 21:13,7/20/17 21:15,2c632488d0
2825586f576a1ce70a88dc7c746b9917,Male,25 - 34,"$35,000 - $49,999",,Herschel,Northface,,Nike,,Apple ear pods,,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,Digital watch,,,,Keychain flashlight,,maglight,Speaker - beats,,,,,,Toothbrush - design,,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,Pen - ballpoint,,Pen - mont blanc,Calculator - simple,Calculator - advanced,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,,Hip hop/ street wear,,,Thrifting/ Flea markets,A3I1W58P6SIV26,7/20/17 21:13,7/20/17 21:16,c0c3b6aeb2
