#,Gender,Age,Income,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
ef9fefc788556e8e77931ae3e2e2a030,Male,25 - 34,"$35,000 - $49,999",,,Beats ear buds,,,,,,,,,Swell bottle,,,,,,,,bike - road,,,,,,,,,,,,,,,,,Camera - canon,,,Fan - box,,,,,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,,Travel/ roadtrips/ exploration,,,,,,,,,,,ADT6AD3LK64AH,7/20/17 21:08,7/20/17 21:09,6d7ae44e32
9348545f8526ea39883cd1bed7e1c053,Male,25 - 34,"Below $35,000",,,,,,,,,Digital watch,,,,,,,,,Honda,,,bike - pricey,,,,,,,,,,,Sunglasses - Oakley,,,,,,,camera - point and shoot,Fan - box,,,,,,,,Sports/ running/ workout,Listening to/ playing music,,,,,Finding deals/ couponing,,,,,,,A110TF61JJR34O,7/20/17 21:08,7/20/17 21:10,be211975db
d672fd995c47f9a0de90e001f45e9b12,Male,25 - 34,"$50,000 - $74,999",,,,,,Samsung,,Smart watch,,,,,,,,BMW,,Honda,Bike - cheapest,,,,,,,,,,,,,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,Camera - canon,Camera - film,,,,,,,,,,,Listening to/ playing music,,,,Coding,,Car enthusiast,Foodie/ fine dining,,,Korean dramas/ Asian style,,A39ZNRZB9EATLB,7/20/17 21:14,7/20/17 21:15,2405:204:7
de012ba46882f2a5207dce54d72581b6,Female,25 - 34,"$50,000 - $74,999",,,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,,Honda,Bike - cheapest,bike - road,bike - pricey,,,,,,,,,,,,,,,,,,,,fan - clip fan,,,,,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,,A8SNALQ3K98RB,7/20/17 21:11,7/20/17 21:15,e612a47651
e8257e48f54939212e8c899360d52152,Male,25 - 34,"Below $35,000",Apple ear pods,,,Flip phone,,,Analog watch,,,,,,,,,,,,,bike - road,,,,,,Toothbrush - normal,Toothbrush - Sonicare,,,,Sunglasses - aviators,,,,,,,Camera - film,,,,,,,,,,,,,Movies/ Netflix/ TV,,,,,,,Fashion blogs / OOTD,Korean dramas/ Asian style,,A26IWVYPL4KZMO,7/20/17 21:14,7/20/17 21:15,25dc4d6dd7
350d22ab4af0dfb3bca1b04ddae9168a,Female,35 - 45,"$35,000 - $49,999",Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,,Smart watch,,Nalgene,Nike bottle,Swell bottle,,,,BMW,Tesla,Honda,Bike - cheapest,bike - road,,,,,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,,,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,,,fan - clip fan,,,notebook - composition,,,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,,A1KZ6I92SWIN75,7/20/17 21:10,7/20/17 21:15,2601:3c0:c
dc825dd1362a5d1b5a6f24ef84f33380,Male,25 - 34,"$50,000 - $74,999",,,,,,Samsung,,Smart watch,,,,,,,,,,,Bike - cheapest,,,,,,,,,,Pen - ink,,,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,,,,Fan - box,fan - clip fan,,,,,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,,Coding,,Car enthusiast,,,,Korean dramas/ Asian style,,A2V7V4PP6O9NPD,7/20/17 21:14,7/20/17 21:16,e20476bc7e
5313b152392ab1fbfa688ba4a41c7259,Male,35 - 45,"$35,000 - $49,999",,Bose ear buds,,Flip phone,,Samsung,,Smart watch,,Nalgene,Nike bottle,,,headlamp,,,Tesla,,,,,,,,Toothbrush - design,,Toothbrush - Sonicare,,Pen - ink,,Sunglasses - aviators,,,,Laptop - surface,laptop - mac,Camera - canon,,,Fan - box,fan - clip fan,,,,,Hiking/ camping/ outdoors,,Sports/ running/ workout,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,Fashion blogs / OOTD,,,A2VI55LKT5L4KB,7/20/17 21:16,7/20/17 21:17,9502aa8002
ad7e8944c8cdeb20cf8f6d10046182c7,Male,25 - 34,"$50,000 - $74,999",,,Beats ear buds,Flip phone,iPhone,,,,Digital watch,Nalgene,Nike bottle,,Keychain flashlight,headlamp,maglight,BMW,,,,bike - road,,,,,,Toothbrush - normal,,Pen - ballpoint,Pen - ink,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,Camera - canon,,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,,notebook - composition,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,Hip hop/ street wear,,Korean dramas/ Asian style,,A2V7V4PP6O9NPD,7/20/17 21:16,7/20/17 21:17,e20476bc7e
f5132ed66a02e925150b2afcb656f4b7,Male,46+,"Below $35,000",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,,Keychain flashlight,,,BMW,Tesla,Honda,,,,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,camera - point and shoot,Fan - box,fan - clip fan,,,notebook - composition,,,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,Foodie/ fine dining,,,,,A2NL38BFEE3BVY,7/20/17 21:15,7/20/17 21:17,0cc0168035
34705cd691b999677da863f21d592ca9,Male,46+,"$100,000 and above",Apple ear pods,,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,,Nalgene,,,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,,,,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,,,,Thrifting/ Flea markets,A3DFL72CC0P7UE,7/20/17 21:15,7/20/17 21:17,269b7c3b96
bd3a4d66367957df5bdebbe47d423ca7,Female,25 - 34,"$35,000 - $49,999",,,,Flip phone,,,,,,,,,,,,,,,,,,,,Bowl - simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finding deals/ couponing,,,,,,,ALL5YYZDJ4FB2,7/20/17 21:17,7/20/17 21:18,93e56e28d3
1b7d9fb9b02913a3063570a511b4254e,Male,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,,,,,,maglight,BMW,,,Bike - cheapest,bike - road,bike - pricey,,,,Toothbrush - design,,,,,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,fan - clip fan,,,notebook - composition,,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,,Car enthusiast,,,,,,A1TARNH07A75CG,7/20/17 21:17,7/20/17 21:18,2601:18a:c
a721d4be29e395f3276ed82b0ea42006,Male,25 - 34,"$35,000 - $49,999",Apple ear pods,Bose ear buds,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Toothbrush - Sonicare,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,,,,,,,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,,,,,A35BY30TC8WCL4,7/20/17 21:10,7/20/17 21:18,354cceadaa
c2f75a0966eb97cf8f8c8e252cc51817,Male,25 - 34,"$35,000 - $49,999",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,,Samsung,Analog watch,,,Nalgene,,,Keychain flashlight,,,,,,,bike - road,,,Bowl - rustic,,,,Toothbrush - Sonicare,,,,,,Sunglasses - generic,,,,,,,Fan - box,,,,,notebook - moleskin,,,Sports/ running/ workout,Listening to/ playing music,,,,Coding,,,,,,,Thrifting/ Flea markets,A1WWPREEDRRKML,7/20/17 21:16,7/20/17 21:18,f86d204336
77f756d8f57018924d29fe574e4fcd70,Male,25 - 34,"Below $35,000",Apple ear pods,,Beats ear buds,Flip phone,,Samsung,Analog watch,,,Nalgene,,Swell bottle,,,,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,,,,Toothbrush - design,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A18SI5095GGGWT,7/20/17 21:15,7/20/17 21:18,2604:2000:
60640108955ba7a5c756aea070b66e0f,Male,25 - 34,,Apple ear pods,Bose ear buds,Beats ear buds,,,Samsung,,Smart watch,,Nalgene,,,,headlamp,,BMW,Tesla,Honda,,,,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,,Sunglasses - generic,,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,Car enthusiast,,,,,,A1LRDHZZUVF9AZ,7/20/17 21:18,7/20/17 21:19,2001:8a0:7
53164460e1e251eed9110ec28d724886,Female,25 - 34,"$75,000 - $100,000",,,,Flip phone,iPhone,Samsung,Analog watch,,,,,Swell bottle,,,,,,,Bike - cheapest,,,,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,,,,,Sunglasses - aviators,,Sunglasses - generic,,,,,,camera - point and shoot,Fan - box,fan - clip fan,,,,,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,,Car enthusiast,Foodie/ fine dining,,,,,A3RHSF14BWSDLN,7/20/17 21:15,7/20/17 21:19,8312de0bfe
fe32303c41623316951a17db91174286,Male,25 - 34,"$35,000 - $49,999",,Bose ear buds,,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,,,,Keychain flashlight,,,BMW,Tesla,,,,bike - pricey,Bowl - pattern,,,,,Toothbrush - Sonicare,Pen - ballpoint,,Pen - mont blanc,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Camera - canon,Camera - film,camera - point and shoot,,,,,notebook - composition,,,,,Listening to/ playing music,,,,Coding,,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,,,Thrifting/ Flea markets,A5DSYVNGYLCA5,7/20/17 21:17,7/20/17 21:19,cb6dab767a
8b24d2b9a946f7890bc5f34a0c8d15b8,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,,Flip phone,iPhone,Samsung,,Smart watch,,,,,,,maglight,,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,,,,,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,,,,,notebook - baron fig,notebook - composition,notebook - moleskin,,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A2A0M30DSA7ZN,7/20/17 21:17,7/20/17 21:19,ce18f01501
06862c2e8aa03aba98cb1b39e1b758ee,Male,35 - 45,"$100,000 and above",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,,,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2II2W80AGDMBT,7/20/17 21:16,7/20/17 21:19,14393d6ee8
6fb633da69a4279b122072f2c1c7b26e,Female,25 - 34,"$75,000 - $100,000",,,,,,,,,Digital watch,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - lenovo,,,,,camera - point and shoot,Fan - box,,,,,,,,,,,,,Coding,,Car enthusiast,,,,,,A3L6JZ3UQ3LFVB,7/20/17 21:18,7/20/17 21:19,40deb10a1c
c057a63037f8e29898b5c4d415c2432e,Male,25 - 34,"$35,000 - $49,999",Apple ear pods,,Beats ear buds,,,Samsung,,,Digital watch,,,Swell bottle,,,maglight,,,Honda,Bike - cheapest,,,,,,,,,,,,,,,Laptop - lenovo,Laptop - surface,,Camera - canon,,,,fan - clip fan,,,,,,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,,,,Korean dramas/ Asian style,,A1QDBK3XPS82X3,7/20/17 21:18,7/20/17 21:19,007b3648d6
08aa18d4916dd3b42e6b872b35c8b9be,Male,46+,"Below $35,000",,Bose ear buds,Beats ear buds,,,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,,Keychain flashlight,,maglight,,Tesla,Honda,,,,,Bowl - rustic,,,Toothbrush - normal,,Pen - ballpoint,Pen - ink,,Sunglasses - aviators,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,fan - clip fan,Fan - dyson,,notebook - composition,notebook - moleskin,,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,,,,,,,,AUOLR6JOD7STS,7/20/17 21:15,7/20/17 21:19,f3698ffd6e
708903882ec9b8c5deeffe303b198162,Female,46+,"$50,000 - $74,999",Apple ear pods,,Beats ear buds,,iPhone,Samsung,,,,,,,Keychain flashlight,,maglight,BMW,Tesla,Honda,,,,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,,,,,,Sunglasses - Oakley,,,Laptop - surface,,Camera - canon,,camera - point and shoot,Fan - box,,,,,notebook - moleskin,,,,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets, A11S43P3WNLIZD,7/20/17 21:16,7/20/17 21:19,2b6088b3b9
c0b689cbb8454c7a4b2b3e6b9436f957,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,Analog watch,,,,,Swell bottle,Keychain flashlight,,maglight,BMW,Tesla,Honda,Bike - cheapest,,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,A8SNALQ3K98RB,7/20/17 21:16,7/20/17 21:19,e612a47651
e97ab4e74b74f7508efe96bf52bfca6b,Male,25 - 34,"Below $35,000",,,,,,,,,,,,,,,maglight,,,Honda,,,,,,,,,,,,,Sunglasses - aviators,Sunglasses - Oakley,,,,laptop - mac,Camera - canon,,,,,,,,,,,Sports/ running/ workout,Listening to/ playing music,,,,,,,,,,,,A1I9ZBV75AVWUS,7/20/17 21:19,7/20/17 21:20,2601:1c0:6
65489ee916ec3d12b896d8ff808e4140,Male,25 - 34,"$50,000 - $74,999",,Bose ear buds,,,iPhone,Samsung,Analog watch,Smart watch,Digital watch,,,Swell bottle,Keychain flashlight,,,BMW,,Honda,,,bike - pricey,,,,Toothbrush - design,,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,fan - clip fan,,,,notebook - moleskin,,,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,,Car enthusiast,,Hip hop/ street wear,,,,AJFJ6VXZJKSXD,7/20/17 21:19,7/20/17 21:21,2601:586:4
bad2d9186edc8cbae6641487e6e8a506,Female,25 - 34,"Below $35,000",,,,,iPhone,Samsung,,,,,,,,,,BMW,Tesla,Honda,,,,,,,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,Camera - film,camera - point and shoot,Fan - box,,,,notebook - composition,,Hiking/ camping/ outdoors,Museums/ photography/ art,,,,,,Coding,Finding deals/ couponing,,,,,,,A1VL7AAOUPDN72,7/20/17 21:19,7/20/17 21:22,97da3e2fe6
6f7e083ef775f3ca7cf354dddc74ae7d,Male,18 - 24,"Below $35,000",,,,,,,,,,Nalgene,,,,,,BMW,,,Bike - cheapest,,bike - pricey,,,,Toothbrush - design,,Toothbrush - Sonicare,Pen - ballpoint,,,Sunglasses - aviators,,,,,,,Camera - film,,,,,,notebook - composition,notebook - moleskin,,,,,,,Design/ Making/ Crafting,,,,,,,,,AD8JNBDMO3NED,7/20/17 21:20,7/20/17 21:22,1a71f20184
d065c1c1f05434049043e16fcb1edb2e,Male,25 - 34,"$50,000 - $74,999",,,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,,,,,,,,,,Honda,,,,,,,,,,,,Pen - mont blanc,,,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,,,,,,,,,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,,Car enthusiast,,,,Korean dramas/ Asian style,,A16SAB417Y96G4,7/20/17 21:22,7/20/17 21:23,deb61d73f2
c3fa3de73f8a5785b34a34392410a5df,Female,46+,"$50,000 - $74,999",,,Beats ear buds,,iPhone,Samsung,,,,,,,,,,BMW,,,,,bike - pricey,Bowl - pattern,,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,,,,,Laptop - lenovo,,,Camera - canon,,camera - point and shoot,,fan - clip fan,,,notebook - composition,,Hiking/ camping/ outdoors,,,Listening to/ playing music,,,Design/ Making/ Crafting,,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2A6FH0F7LD9ND,7/20/17 21:21,7/20/17 21:23,2001:5b0:4
d4069d87ff1b63c0851dc232b0d8ead2,Male,25 - 34,"Below $35,000",Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,,,,,,,Keychain flashlight,,maglight,,Tesla,,,bike - road,,Bowl - pattern,Bowl - rustic,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,fan - clip fan,,notebook - baron fig,notebook - composition,notebook - moleskin,,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,Foodie/ fine dining,,,,,AK47FLPTKZR5G,7/20/17 21:22,7/20/17 21:24,be52a085d4
234f3a832eacf05d990d31af624aabf8,Male,25 - 34,"$50,000 - $74,999",Apple ear pods,,,,iPhone,,,,Digital watch,Nalgene,,,,,maglight,,Tesla,,Bike - cheapest,,,,,Bowl - simple,,,,Pen - ballpoint,,,,Sunglasses - Oakley,,,,,,,camera - point and shoot,Fan - box,,Fan - dyson,,,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A2XM2MNPSM2PIY,7/20/17 21:10,7/20/17 21:24,02e5a61df6
1291ad1b64d6aa3ff3a0803f3cf145fb,Female,46+,"$75,000 - $100,000",,,,,iPhone,Samsung,Analog watch,Smart watch,,Nalgene,,Swell bottle,Keychain flashlight,,,BMW,Tesla,Honda,,,bike - pricey,Bowl - pattern,,Bowl - simple,Toothbrush - design,Toothbrush - normal,,Pen - ballpoint,Pen - ink,Pen - mont blanc,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,,,,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,,,Fashion blogs / OOTD,Korean dramas/ Asian style,,A3VGVIXUXNBUMS,7/20/17 21:25,7/20/17 21:26,f44f71911b
30c01d279c5bc666b5057ebde65e8250,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,,,,,Samsung,,Smart watch,,,,,,,,,,Honda,,,,,,,,Toothbrush - normal,,Pen - ballpoint,,,Sunglasses - aviators,,,,Laptop - surface,,Camera - canon,,,,,,,,,,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,Foodie/ fine dining,,,,,A2UA3QR3EUAT9K,7/20/17 21:23,7/20/17 21:27,ed66458799
45715aba29fbe77732b9980cb005a0eb,Male,18 - 24,"Below $35,000",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,,Digital watch,,Nike bottle,Swell bottle,Keychain flashlight,headlamp,,,,,,bike - road,,,Bowl - rustic,Bowl - simple,,,,,,,Sunglasses - aviators,,Sunglasses - generic,,Laptop - surface,laptop - mac,,,,Fan - box,,,,,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,Fashion blogs / OOTD,,Thrifting/ Flea markets,A1DVKS3R9SLQ1H,7/20/17 21:19,7/20/17 21:29,6c77552a0e
12344ec8b4d5e4fe01506b4985c56715,Male,25 - 34,"$35,000 - $49,999",,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fan - box,,,,,,,,Sports/ running/ workout,,,,,Coding,,,,,,,,A3AJ1FK1HXDM6E,7/20/17 21:27,7/20/17 21:29,007b3648d6
a680725332140abc79648a307a3fa60e,Female,25 - 34,"$35,000 - $49,999",,,Beats ear buds,,,,Analog watch,Smart watch,,,,Swell bottle,,,,,Tesla,Honda,,bike - road,,,Bowl - rustic,Bowl - simple,,,,,Pen - ink,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,,,,,,,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,Foodie/ fine dining,,,,,A1USR9JCAMDGM3,7/20/17 21:20,7/20/17 21:29,5dacdc7ca9
e4b42f57a834bbb650a94ebc282d1e5f,Female,25 - 34,"$75,000 - $100,000",,,Beats ear buds,,,Samsung,Analog watch,,Digital watch,Nalgene,,,,,,,Tesla,,,,,,,,,,,,,,,,Sunglasses - generic,,,laptop - mac,,Camera - film,,,,,,,notebook - moleskin,Hiking/ camping/ outdoors,,,Listening to/ playing music,Travel/ roadtrips/ exploration,,Design/ Making/ Crafting,,,Car enthusiast,Foodie/ fine dining,,Fashion blogs / OOTD,,,A37Z8XZQJNV93Z,7/20/17 21:29,7/20/17 21:30,2a02:c7d:2
950e9ed34d45b904034f28414f190798,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,,,,,Samsung,,Smart watch,,Nalgene,,,,,,,Tesla,,,,bike - pricey,,,,,,,Pen - ballpoint,,,Sunglasses - aviators,,,Laptop - lenovo,,,Camera - canon,,,,,,,,,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,Foodie/ fine dining,,,,,A2UA3QR3EUAT9K,7/20/17 21:30,7/20/17 21:31,ed66458799
35fc4e93d366a946edc4184af41b0836,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,Beats ear buds,,,Samsung,,,,,Nike bottle,Swell bottle,,,maglight,,Tesla,,,bike - road,,Bowl - pattern,,Bowl - simple,,,Toothbrush - Sonicare,Pen - ballpoint,,,,,Sunglasses - generic,,,laptop - mac,,,,Fan - box,fan - clip fan,,,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A1W2G1N4BDF2DW,7/20/17 21:30,7/20/17 21:32,2601:802:8
46b252a0d500371c1a3d648cc377e1d6,Male,25 - 34,"$50,000 - $74,999",,,,,,,Analog watch,,,,,,,,,,,Honda,,,bike - pricey,,,,,,Toothbrush - Sonicare,,,,,,,,Laptop - surface,,,,,Fan - box,,,,,,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,,,,,,AFHYKBNXB3FQ2,7/20/17 21:32,7/20/17 21:33,9f8da0f86d
820169846f1007b9a5d774ac45461641,Male,25 - 34,"$35,000 - $49,999",,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,Sunglasses - aviators,,,,,,,,,,,,,,,,,Sports/ running/ workout,,,,,,,,,,,,,A3AJ1FK1HXDM6E,7/20/17 21:30,7/20/17 21:33,007b3648d6
